2026-04-03 11:10:07 | ====================================================
GridCFN Configuration
====================================================

[Data]
  dataset                = solar
  data_path              = ./data/solar_AL.txt
  T_in                   = 168
  T_out                  = 1
  adj_threshold          = 0.95
  batch_size             = 32

[Model]
  in_dim                 = 1
  gcn_hidden             = 64
  gcn_layers             = 2
  tcn_hidden             = 64
  tcn_layers             = 4
  env_dim                = 32
  stoch_dim              = 32
  ms_out_dim             = 32
  n_scg_layers           = 3
  out_dim                = 1
  lambda_mi              = 0.5

[Train]
  lr                     = 0.0005
  max_epochs             = 200
  patience               = 20
  lr_decay_factor        = 0.5
  lr_decay_patience      = 10
  grad_clip              = 1.0
  weight_decay           = 1e-05
  save_path              = best_model.pt
  seed                   = 42
  warmup_epochs          = 5
  gpu_id                 = -1
  log_dir                = logs
  log_to_console         = True
====================================================
2026-04-03 11:10:07 | Device : GPU 0: NVIDIA GeForce RTX 3090  (23.6 GB)
2026-04-03 11:10:08 | Graph  : 137 nodes, 2884 edges
2026-04-03 11:10:08 | Parameters : 202,182

2026-04-03 11:10:09 |  Epoch |     Loss |      NLL |      MI |  Val MAE |  Val RMSE |  Val CRPS |       LR |   Time
2026-04-03 15:04:16 |     56 |  -1.8561 |  -2.7061 |  1.7001 |   0.1253 |    0.3301 |    0.0943 | 2.50e-04 | 250.9s
2026-04-03 15:08:27 |     57 |  -1.7705 |  -2.7418 |  1.9426 |   0.1239 |    0.3296 |    0.0932 | 2.50e-04 | 251.0s
2026-04-03 15:12:38 |     58 |  -1.8254 |  -2.7607 |  1.8705 |   0.1230 |    0.3305 |    0.0928 | 2.50e-04 | 251.0s
2026-04-03 15:16:49 |     59 |  -1.7760 |  -2.7477 |  1.9434 |   0.1243 |    0.3300 |    0.0932 | 2.50e-04 | 251.0s
2026-04-03 15:21:00 |     60 |  -1.7939 |  -2.7566 |  1.9255 |   0.1255 |    0.3299 |    0.0925 | 2.50e-04 | 251.0s
2026-04-03 15:25:11 |     61 |  -0.0913 |  -0.7463 |  1.3099 |   0.1241 |    0.3327 |    0.0930 | 2.50e-04 | 251.0s
2026-04-03 15:29:21 |     62 |  -1.6646 |  -2.5178 |  1.7064 |   0.1307 |    0.3355 |    0.0957 | 1.25e-04 | 250.9s
2026-04-03 15:33:32 |     63 |  -1.8369 |  -2.8399 |  2.0060 |   0.1214 |    0.3278 |    0.0909 | 1.25e-04 | 250.9s
2026-04-03 15:37:43 |     64 |  -1.7399 |  -2.8556 |  2.2315 |   0.1213 |    0.3275 |    0.0909 | 1.25e-04 | 251.0s
2026-04-03 15:41:54 |     65 |  -1.7470 |  -2.8406 |  2.1874 |   0.1238 |    0.3313 |    0.0926 | 1.25e-04 | 251.0s
2026-04-03 15:46:05 |     66 |  -1.8161 |  -2.8715 |  2.1108 |   0.1357 |    0.3385 |    0.1001 | 1.25e-04 | 251.0s
2026-04-03 15:50:16 |     67 |  -1.7516 |  -2.9120 |  2.3209 |   0.1199 |    0.3258 |    0.0901 | 1.25e-04 | 251.0s
2026-04-03 15:54:28 |     68 |  -1.7608 |  -2.9077 |  2.2939 |   0.1211 |    0.3272 |    0.0906 | 1.25e-04 | 251.1s
2026-04-03 15:58:39 |     69 |  -1.7659 |  -2.9533 |  2.3747 |   0.1204 |    0.3247 |    0.0896 | 1.25e-04 | 251.1s
2026-04-03 16:02:50 |     70 |   1.0599 |  -0.1233 |  2.3665 |   0.1213 |    0.3259 |    0.0903 | 1.25e-04 | 251.1s
2026-04-03 16:07:01 |     71 |  -1.7240 |  -2.8436 |  2.2393 |   0.1208 |    0.3267 |    0.0902 | 1.25e-04 | 251.0s
2026-04-03 16:11:12 |     72 |  -1.9404 |  -2.9484 |  2.0161 |   0.1198 |    0.3244 |    0.0894 | 1.25e-04 | 251.1s
2026-04-03 16:15:23 |     73 |  -1.9830 |  -2.8833 |  1.8007 |   0.1264 |    0.3323 |    0.0937 | 1.25e-04 | 251.0s
2026-04-03 16:19:34 |     74 |  -1.9056 |  -2.8432 |  1.8751 |   0.1203 |    0.3253 |    0.0897 | 1.25e-04 | 251.0s
2026-04-03 16:23:45 |     75 |  -1.8353 |  -2.8693 |  2.0679 |   0.1208 |    0.3252 |    0.0896 | 1.25e-04 | 251.0s
2026-04-03 16:27:56 |     76 |  -1.8385 |  -2.8700 |  2.0631 |   0.1204 |    0.3231 |    0.0893 | 1.25e-04 | 251.1s
2026-04-03 16:32:07 |     77 |  -1.8974 |  -2.8651 |  1.9354 |   0.1233 |    0.3288 |    0.0910 | 1.25e-04 | 251.0s
2026-04-03 16:36:18 |     78 |  -1.9707 |  -2.8640 |  1.7867 |   0.1221 |    0.3269 |    0.0904 | 1.25e-04 | 251.1s
2026-04-03 16:40:29 |     79 |  -1.7766 |  -2.6674 |  1.7815 |   0.1207 |    0.3262 |    0.0895 | 1.25e-04 | 251.0s
2026-04-03 16:44:40 |     80 |  -2.0116 |  -2.9462 |  1.8691 |   0.1204 |    0.3257 |    0.0893 | 1.25e-04 | 251.1s
2026-04-03 16:48:51 |     81 |  -2.0146 |  -2.9227 |  1.8163 |   0.1202 |    0.3252 |    0.0893 | 1.25e-04 | 251.1s
2026-04-03 16:53:02 |     82 |  -2.0868 |  -2.9583 |  1.7430 |   0.1191 |    0.3231 |    0.0884 | 1.25e-04 | 251.1s
2026-04-03 16:57:13 |     83 |  -2.0869 |  -2.9632 |  1.7526 |   0.1189 |    0.3222 |    0.0881 | 1.25e-04 | 251.1s
2026-04-03 17:01:24 |     84 |  -1.9938 |  -2.8718 |  1.7558 |   0.1302 |    0.3356 |    0.0941 | 1.25e-04 | 251.0s
2026-04-03 17:05:35 |     85 |  -1.6839 |  -2.7233 |  2.0788 |   0.1199 |    0.3236 |    0.0886 | 1.25e-04 | 251.0s
2026-04-03 17:09:46 |     86 |  -1.8080 |  -2.9069 |  2.1980 |   0.1191 |    0.3218 |    0.0879 | 1.25e-04 | 251.0s
2026-04-03 17:13:57 |     87 |  -1.6908 |  -2.7949 |  2.2081 |   0.1323 |    0.3336 |    0.0958 | 1.25e-04 | 251.0s
